,PacketTotalNum,DurationTime,PacketLenMean,PayloadLenMean,TimeGapMean
35271,1,0.0,387.0,345.0,0.0
35272,2,64719.152105093,131.0,89.0,64719.152105093
35273,3,-8450.86530303955,131.0,89.0,-4225.432651519775
35274,2,64719.15171909332,131.0,89.0,64719.15171909332
35275,3,-8450.865640163422,131.0,89.0,-4225.432820081711
35276,5,64616.99814915657,64.0,22.0,16154.249537289143
35277,5,64616.99791312218,84.0,22.0,16154.249478280544
35278,3,-14127.210368871689,131.0,89.0,-7063.605184435844
35279,5,3535947.0618391037,131.0,89.0,883986.7654597759
35280,5,66179.89572882652,84.0,22.0,16544.97393220663
35281,5,66179.89579606056,64.0,22.0,16544.97394901514
35282,5,74125.04117298126,84.0,22.0,18531.260293245316
35283,5,74125.04114508629,64.0,22.0,18531.260286271572
35284,5,1079.7699420452118,84.0,22.0,269.94248551130295
35285,5,1079.7699708938599,64.0,22.0,269.94249272346497
35286,5,-7238.956416130066,86.0,24.0,-1809.7391040325165
35287,5,-7238.9565460681915,66.0,24.0,-1809.7391365170479
35288,5,64730.578239917755,84.0,22.0,16182.644559979439
35289,5,1726325.4380321503,64.0,22.0,431581.35950803757
35290,3,-14127.210247039795,131.0,89.0,-7063.6051235198975
35291,5,3535947.0622861385,131.0,89.0,883986.7655715346
35292,1,0.0,79.0,37.0,0.0
35293,1,0.0,415.0,373.0,0.0
35294,1,0.0,79.0,37.0,0.0
35295,1,0.0,415.0,373.0,0.0
35296,5,65396.68067193031,84.0,22.0,16349.170167982578
35297,5,65396.68060398102,64.0,22.0,16349.170150995255
35298,3,-14127.211363077164,131.0,89.0,-7063.605681538582
35299,1,0.0,131.0,89.0,0.0
35300,1,0.0,87.0,45.0,0.0
35301,1,0.0,87.0,45.0,0.0
35302,1,0.0,87.0,45.0,0.0
35303,3,0.0008769035339355469,239.0,197.0,0.00043845176696777344
35304,5,663.00017786026,84.0,22.0,165.750044465065
35305,5,663.0001609325409,64.0,22.0,165.75004023313522
35306,5,521.9654970169067,84.0,22.0,130.49137425422668
35307,3,-14127.211178064346,131.0,89.0,-7063.605589032173
35308,1,0.0,131.0,89.0,0.0
35309,5,64244.814710855484,84.0,22.0,16061.203677713871
35310,5,64244.81478714943,64.0,22.0,16061.203696787357
35311,3,-14127.211134910583,131.0,89.0,-7063.605567455292
35312,1,0.0,131.0,89.0,0.0
35313,5,1234.9405579566956,84.0,22.0,308.7351394891739
35314,5,1234.9405789375305,64.0,22.0,308.73514473438263
35315,5,3536722.89507699,64.0,22.0,884180.7237692475
35316,5,3536722.894830942,84.0,22.0,884180.7237077355
35317,5,3.0022289752960205,175.0,133.0,0.7505572438240051
35318,5,63946.28849506378,84.0,22.0,15986.572123765945
35319,5,63946.28842496872,64.0,22.0,15986.57210624218
35320,2,-4723.1025149822235,131.0,89.0,-4723.1025149822235
35321,1,0.0,131.0,89.0,0.0
